tier,geography,outcome,estimate,se,conf_low,conf_high,p,n,clusters,primary
gp_head,district,graduate_plus,-0.1470363011753852,0.009522329374264523,-0.16633037318400065,-0.12774222916676972,1.0375582058641191e-17,7873,38,FALSE
gp_head,district,illiterate,0.01448660122706161,0.0025576774600802113,0.009304254434587652,0.01966894801953557,1.7908780939348767e-6,7873,38,FALSE
gp_head,district,age,-3.55071193634124,0.25538327525419086,-4.0681676038449694,-3.0332562688375098,2.8833838501217805e-16,7934,38,FALSE
gp_head,block_id,graduate_plus,-0.14974748714124042,0.007966886255782393,-0.16539858609815167,-0.13409638818432917,1.4057847028739932e-60,7873,523,TRUE
gp_head,block_id,illiterate,0.014988594299402459,0.002953805324099191,0.009185787789723272,0.020791400809081644,5.415196812422267e-7,7873,523,TRUE
gp_head,block_id,age,-3.6220730979604823,0.23966036714366298,-4.092888336795759,-3.1512578591252063,4.415747007435966e-43,7934,524,TRUE
kachahari_member,district,graduate_plus,-0.027999379779749114,0.002277803429239242,-0.03261464792033553,-0.0233841116391627,1.2454341386508805e-14,85355,38,FALSE
kachahari_member,district,illiterate,0.14794861681776836,0.009940756646605686,0.1278067306236094,0.16809050301192732,3.370327104452428e-17,85355,38,FALSE
kachahari_member,district,age,-2.879741036579621,0.1860716034467283,-3.2567579170671235,-2.502724156092119,9.640625390227458e-18,85376,38,FALSE
kachahari_member,block_id,graduate_plus,-0.028122502805049663,0.0012857793794945316,-0.030648520540442543,-0.025596485069656782,1.7238134461398363e-75,85355,516,TRUE
kachahari_member,block_id,illiterate,0.148099272417289,0.004350260091783428,0.13955283410861374,0.15664571072596428,6.310366528410281e-134,85355,516,TRUE
kachahari_member,block_id,age,-2.9155255006309586,0.10490645604438649,-3.121622730646818,-2.709428270615099,1.5752488903300066e-104,85376,516,TRUE
block_member,district,graduate_plus,-0.10664670389994708,0.007865610157558938,-0.12258394391831821,-0.09070946388157596,6.294445897869313e-16,10743,38,FALSE
block_member,district,illiterate,0.032028400159341545,0.004595346627320966,0.022717343458057565,0.041339456860625526,3.110553893410235e-8,10743,38,FALSE
block_member,district,age,-2.646062897561485,0.26839286937385376,-3.1898785066175437,-2.102247288505426,6.748694501786226e-12,10775,38,FALSE
block_member,block_id,graduate_plus,-0.10752185824585274,0.006296255087439442,-0.11989119259781612,-0.09515252389388935,3.390872444124785e-52,10743,519,TRUE
block_member,block_id,illiterate,0.03224464997175384,0.0037100804025252832,0.02495599594897581,0.039533303994531865,4.736483861508385e-17,10743,519,TRUE
block_member,block_id,age,-2.6713135144088076,0.2101754435502069,-3.0842145639598306,-2.2584124648577846,2.095356422190077e-32,10775,519,TRUE
kachahari_head,district,graduate_plus,-0.12221553126521101,0.007294560437555742,-0.13699571464489677,-0.10743534788552524,7.320666565553097e-19,7841,38,FALSE
kachahari_head,district,illiterate,0.046664781246296735,0.005481411841756579,0.035558385885771045,0.057771176606822426,3.042900571884574e-10,7841,38,FALSE
kachahari_head,district,age,-5.62027576357023,0.2736087479731501,-6.1746597465322575,-5.065891780608202,7.968114801671248e-22,7871,38,FALSE
kachahari_head,block_id,graduate_plus,-0.12124028737261754,0.006595188142797931,-0.13419677521031576,-0.10828379953491932,1.6100706942179893e-58,7841,521,TRUE
kachahari_head,block_id,illiterate,0.04667208618620903,0.004858590528310509,0.03712720774977598,0.05621696462264208,3.195047723130078e-20,7841,521,TRUE
kachahari_head,block_id,age,-5.648954141995724,0.26303095756435235,-6.165688059032224,-5.132220224959225,1.0152891786314481e-73,7871,521,TRUE
gp_ward,district,graduate_plus,-0.0453125529440846,0.002370676356076185,-0.05011599950904748,-0.04050910637912172,9.153111940783328e-21,97200,38,FALSE
gp_ward,district,illiterate,0.11484764718248147,0.010706211907505103,0.09315480130790213,0.1365404930570608,6.542014591815392e-13,97200,38,FALSE
gp_ward,district,age,-1.9982059966207728,0.15604678592184607,-2.3143868181355343,-1.6820251751060113,3.633415865128436e-15,97211,38,FALSE
gp_ward,block_id,graduate_plus,-0.04558266148039627,0.0015935871181130506,-0.04871337815797834,-0.042451944802814195,1.6200902129831204e-108,97200,517,TRUE
gp_ward,block_id,illiterate,0.11541817531117643,0.003987832045671478,0.10758379201899532,0.12325255860335754,3.820789216709808e-110,97200,517,TRUE
gp_ward,block_id,age,-1.9979877850045178,0.08647617480450723,-2.1678764591766235,-1.828099110832412,1.2815369171530347e-81,97211,517,TRUE
zp_member,district,graduate_plus,-0.126714058188973,0.028333165940564217,-0.18412250547149728,-0.06930561090644871,7.103886372268991e-5,888,38,TRUE
zp_member,district,illiterate,0.012713236473126291,0.00825636561180779,-0.004015749301531375,0.029442222247783957,0.13211619914494965,888,38,TRUE
zp_member,district,age,-4.166460536370737,0.7108568242475464,-5.606793275953923,-2.7261277967875506,9.68026241704831e-7,891,38,TRUE
