year,tier,quota,n,education_n,graduate_plus,illiterate,age_n,age
2010,block_member,0,983,895,0.26927374301675977,NA,939,46.45686900958465
2010,block_member,1,1095,1018,0.2406679764243615,NA,1041,42.01248799231509
2010,gp_ward,0,8047,7214,0.15844191849182146,NA,7177,44.760484882262794
2010,gp_ward,1,8594,7807,0.1575509158447547,NA,7616,40.051601890756224
2010,zp_member,0,162,141,0.5319148936170213,NA,161,48.27950310559006
2010,zp_member,1,169,160,0.49375,NA,169,44.10650887573964
2015,block_member,0,1021,892,0.26121076233183854,NA,1004,47.81474103585657
2015,block_member,1,1041,924,0.24783549783549783,NA,1025,44.57463414634145
2015,gp_ward,0,7725,6767,0.15738140978276932,NA,7622,46.00485436893202
2015,gp_ward,1,8196,7354,0.15882512918139788,NA,8102,41.92001974821024
2015,zp_member,0,164,140,0.5357142857142857,NA,161,48.45962732919254
2015,zp_member,1,167,154,0.461038961038961,NA,166,45.59036144578313
2020,block_member,0,980,867,0.27335640138408307,NA,978,48.502044989775044
2020,block_member,1,1098,981,0.24974515800203873,NA,1092,45.67948717948718
2020,gp_ward,0,7726,6473,0.17457129615325198,NA,7680,47.159375
2020,gp_ward,1,8226,6985,0.19584824624194702,NA,8180,43.86662591687045
2020,zp_member,0,166,143,0.5174825174825175,NA,166,49.1566265060241
2020,zp_member,1,165,139,0.5323741007194245,NA,165,45.55151515151515
