year,tier,quota,seats,winners,ambiguous,treatment_known,classified_schooling
2010,block_member,0,983,983,0,983,895
2010,block_member,1,1095,1095,0,1095,1018
2010,gp_ward,0,8047,8047,0,8047,7218
2010,gp_ward,1,8594,8594,0,8594,7806
2010,zp_member,0,162,162,0,162,142
2010,zp_member,1,169,169,0,169,160
2015,block_member,0,1021,1021,0,1021,892
2015,block_member,1,1041,1041,0,1041,923
2015,gp_ward,0,7725,7725,0,7725,6768
2015,gp_ward,1,8196,8196,0,8196,7353
2015,zp_member,0,164,164,0,164,141
2015,zp_member,1,167,167,0,167,154
2020,block_member,0,980,980,0,980,869
2020,block_member,1,1098,1098,0,1098,981
2020,gp_ward,0,7726,7726,0,7726,6472
2020,gp_ward,1,8226,8226,0,8226,6985
2020,zp_member,0,166,166,0,166,143
2020,zp_member,1,165,165,0,165,139
