state,year,tier,classified_sample_estimate,all_winners_lower,all_winners_upper,all_winners_n,unclassified
uttar_pradesh,2010,gp_head,-0.13089570191008962,-0.13477359103003123,-0.1244179008649695,51820,254
uttar_pradesh,2015,gp_head,-0.09068228662791376,-0.09068228662791883,-0.09068228662791883,59019,0
uttar_pradesh,2021,gp_head,-0.07411924685558516,-0.11958038895475187,-0.013357754170016,49771,2543
rajasthan,2020,gp_head,-0.0693858074040786,-0.2968797433267445,0.3152458826403904,11128,3380
kerala,2010,block_member,-0.04079352907420155,-0.123447904747267,0.03447746443015635,2078,165
kerala,2010,gp_ward,-0.00467738093270066,-0.10563030962907476,0.08944964738228221,16641,1620
kerala,2010,zp_member,-0.04008310437767984,-0.1272843062409467,0.05449576643550228,331,30
kerala,2015,block_member,-0.01228872037492036,-0.13753429060134376,0.0995844489144804,2062,246
kerala,2015,gp_ward,-0.00121581001215518,-0.12179089127201075,0.10478528339736966,15921,1800
kerala,2015,zp_member,-0.07550938086459998,-0.18036264725794335,0.043248418253026576,331,37
kerala,2020,block_member,-0.03341860323543612,-0.14468798055802895,0.07782289671763565,2078,230
kerala,2020,gp_ward,0.01979608721032007,-0.1440346919202251,0.16912662893876929,15952,2494
kerala,2020,zp_member,-0.01750683776320422,-0.1510335507351637,0.1515344059075453,331,49
